ARC_term_classification,ARC_term,APItext,num_annotation_matches,URIs
Vital Sign,Terrestrial Snow Cover,Terrestrial+Snow+Cover,2,http://purl.obolibrary.org/obo/ENVO_01000406
Vital Sign,Terrestrial Snow Cover,Terrestrial+Snow+Cover,2,http://purl.dataone.org/odo/ECSO_#http://purl.obolibrary.org/obo/ENVO_01000406
Vital Sign,Tundra Greenness,Tundra+Greenness,0,"NA"
Vital Sign,Surface Air Temp,Surface+Air+Temp,3,http://purl.obolibrary.org/obo/UBERON_0002416
Vital Sign,Surface Air Temp,Surface+Air+Temp,3,http://purl.obolibrary.org/obo/ENVO_00002005
Vital Sign,Surface Air Temp,Surface+Air+Temp,3,http://purl.dataone.org/odo/ECSO_00001104
Vital Sign,Greenland Ice Sheet,Greenland+Ice+Sheet,6,http://purl.obolibrary.org/obo/ENVO_00000132
Vital Sign,Greenland Ice Sheet,Greenland+Ice+Sheet,6,http://purl.obolibrary.org/obo/ENVO_00000299
Vital Sign,Greenland Ice Sheet,Greenland+Ice+Sheet,6,http://purl.obolibrary.org/obo/ENVO_01001125
Vital Sign,Greenland Ice Sheet,Greenland+Ice+Sheet,6,http://purl.obolibrary.org/obo/ENVO_01001126
Vital Sign,Greenland Ice Sheet,Greenland+Ice+Sheet,6,http://purl.obolibrary.org/obo/ENVO_01000277
Vital Sign,Greenland Ice Sheet,Greenland+Ice+Sheet,6,http://purl.obolibrary.org/obo/ENVO_00000131
Vital Sign,ARctic Ocean Primary Productivity,ARctic+Ocean+Primary+Productivity,3,http://purl.obolibrary.org/obo/ENVO_00000015
Vital Sign,ARctic Ocean Primary Productivity,ARctic+Ocean+Primary+Productivity,3,http://purl.dataone.org/odo/ECSO_00001154
Vital Sign,ARctic Ocean Primary Productivity,ARctic+Ocean+Primary+Productivity,3,http://purl.dataone.org/odo/ECSO_00000015
Vital Sign,Sea Surface Temperature,Sea+Surface+Temperature,6,http://purl.obolibrary.org/obo/ENVO_04000002
Vital Sign,Sea Surface Temperature,Sea+Surface+Temperature,6,http://purl.dataone.org/odo/ECSO_00001523
Vital Sign,Sea Surface Temperature,Sea+Surface+Temperature,6,http://purl.obolibrary.org/obo/ENVO_00000016
Vital Sign,Sea Surface Temperature,Sea+Surface+Temperature,6,http://purl.dataone.org/odo/ECSO_00001526
Vital Sign,Sea Surface Temperature,Sea+Surface+Temperature,6,http://purl.obolibrary.org/obo/UBERON_0002416
Vital Sign,Sea Surface Temperature,Sea+Surface+Temperature,6,http://purl.obolibrary.org/obo/PATO_0000146
Vital Sign,Sea Ice,Sea+Ice,6,http://purl.obolibrary.org/obo/ENVO_00002200
Vital Sign,Sea Ice,Sea+Ice,6,http://purl.obolibrary.org/obo/ENVO_00000016
Vital Sign,Sea Ice,Sea+Ice,6,http://purl.obolibrary.org/obo/ENVO_01001125
Vital Sign,Sea Ice,Sea+Ice,6,http://purl.obolibrary.org/obo/ENVO_01001126
Vital Sign,Sea Ice,Sea+Ice,6,http://purl.obolibrary.org/obo/ENVO_01000277
Vital Sign,Sea Ice,Sea+Ice,6,http://purl.obolibrary.org/obo/ENVO_00000131
Target Variable,"Normalized Difference Vegetation Index (NDVI): MaxNDVI and TI-NDVI (time-integrated) as proxies for ""greenness""","Normalized+Difference+Vegetation+Index+(NDVI):+MaxNDVI+and+TI-NDVI+(time-integrated)+as+proxies+for+""greenness""",2,http://www.purl.dataone.org/odo/ECSO_00010076
Target Variable,"Normalized Difference Vegetation Index (NDVI): MaxNDVI and TI-NDVI (time-integrated) as proxies for ""greenness""","Normalized+Difference+Vegetation+Index+(NDVI):+MaxNDVI+and+TI-NDVI+(time-integrated)+as+proxies+for+""greenness""",2,http://purl.obolibrary.org/obo/PATO_0000165
Target Variable,Arctic land air temp anomaly,Arctic+land+air+temp+anomaly,5,http://purl.obolibrary.org/obo/ENVO_00000112
Target Variable,Arctic land air temp anomaly,Arctic+land+air+temp+anomaly,5,http://purl.obolibrary.org/obo/ENVO_01001785
Target Variable,Arctic land air temp anomaly,Arctic+land+air+temp+anomaly,5,http://purl.obolibrary.org/obo/ENVO_01000635
Target Variable,Arctic land air temp anomaly,Arctic+land+air+temp+anomaly,5,http://purl.obolibrary.org/obo/ENVO_00002005
Target Variable,Arctic land air temp anomaly,Arctic+land+air+temp+anomaly,5,http://purl.dataone.org/odo/ECSO_00001104
Target Variable,Global land air temperature anomaly,Global+land+air+temperature+anomaly,6,http://purl.obolibrary.org/obo/ENVO_01001785
Target Variable,Global land air temperature anomaly,Global+land+air+temperature+anomaly,6,http://purl.obolibrary.org/obo/ENVO_01000635
Target Variable,Global land air temperature anomaly,Global+land+air+temperature+anomaly,6,http://purl.dataone.org/odo/ECSO_00001225
Target Variable,Global land air temperature anomaly,Global+land+air+temperature+anomaly,6,http://purl.obolibrary.org/obo/ENVO_09200001
Target Variable,Global land air temperature anomaly,Global+land+air+temperature+anomaly,6,http://purl.obolibrary.org/obo/ENVO_00002005
