ARC_term_classification,ARC_term,APItext,num_annotation_matches,valueURI
Vital Sign,Terrestrial Snow Cover,Terrestrial+Snow+Cover,2,http://purl.obolibrary.org/obo/ENVO_01000406 http://purl.dataone.org/odo/ECSO_#http://purl.obolibrary.org/obo/ENVO_01000406
Vital Sign,Tundra Greenness,Tundra+Greenness,0,"NA"
Vital Sign,Surface Air Temp,Surface+Air+Temp,3,http://purl.obolibrary.org/obo/UBERON_0002416 http://purl.obolibrary.org/obo/ENVO_00002005 http://purl.dataone.org/odo/ECSO_00001104
Vital Sign,Greenland Ice Sheet,Greenland+Ice+Sheet,6,http://purl.obolibrary.org/obo/ENVO_00000132 http://purl.obolibrary.org/obo/ENVO_00000299 http://purl.obolibrary.org/obo/ENVO_01001125 http://purl.obolibrary.org/obo/ENVO_01001126 http://purl.obolibrary.org/obo/ENVO_01000277 http://purl.obolibrary.org/obo/ENVO_00000131
Vital Sign,ARctic Ocean Primary Productivity,ARctic+Ocean+Primary+Productivity,3,http://purl.obolibrary.org/obo/ENVO_00000015 http://purl.dataone.org/odo/ECSO_00001154 http://purl.dataone.org/odo/ECSO_00000015
Vital Sign,Sea Surface Temperature,Sea+Surface+Temperature,6,http://purl.obolibrary.org/obo/ENVO_04000002 http://purl.dataone.org/odo/ECSO_00001523 http://purl.obolibrary.org/obo/ENVO_00000016 http://purl.dataone.org/odo/ECSO_00001526 http://purl.obolibrary.org/obo/UBERON_0002416 http://purl.obolibrary.org/obo/PATO_0000146
Vital Sign,Sea Ice,Sea+Ice,6,http://purl.obolibrary.org/obo/ENVO_00002200 http://purl.obolibrary.org/obo/ENVO_00000016 http://purl.obolibrary.org/obo/ENVO_01001125 http://purl.obolibrary.org/obo/ENVO_01001126 http://purl.obolibrary.org/obo/ENVO_01000277 http://purl.obolibrary.org/obo/ENVO_00000131
Target Variable,"Normalized Difference Vegetation Index (NDVI): MaxNDVI and TI-NDVI (time-integrated) as proxies for ""greenness""","Normalized+Difference+Vegetation+Index+(NDVI):+MaxNDVI+and+TI-NDVI+(time-integrated)+as+proxies+for+""greenness""",2,http://www.purl.dataone.org/odo/ECSO_00010076 http://purl.obolibrary.org/obo/PATO_0000165
Target Variable,Arctic land air temp anomaly,Arctic+land+air+temp+anomaly,5,http://purl.obolibrary.org/obo/ENVO_00000112 http://purl.obolibrary.org/obo/ENVO_01001785 http://purl.obolibrary.org/obo/ENVO_01000635 http://purl.obolibrary.org/obo/ENVO_00002005 http://purl.dataone.org/odo/ECSO_00001104
Target Variable,Global land air temperature anomaly,Global+land+air+temperature+anomaly,6,http://purl.obolibrary.org/obo/ENVO_01001785 http://purl.obolibrary.org/obo/ENVO_01000635 http://purl.dataone.org/odo/ECSO_00001225 http://purl.obolibrary.org/obo/ENVO_09200001 http://purl.obolibrary.org/obo/ENVO_00002005 http://purl.obolibrary.org/obo/PATO_0000146
Target Variable,Surface Air Temperature,Surface+Air+Temperature,5,http://purl.obolibrary.org/obo/UBERON_0002416 http://purl.dataone.org/odo/ECSO_00001225 http://purl.obolibrary.org/obo/ENVO_09200001 http://purl.obolibrary.org/obo/ENVO_00002005 http://purl.obolibrary.org/obo/PATO_0000146
Target Variable,Snow Cover Extent (Duration),Snow+Cover+Extent+(Duration),3,http://purl.obolibrary.org/obo/ENVO_01000406 http://purl.dataone.org/odo/ECSO_#http://purl.obolibrary.org/obo/ENVO_01000406 http://purl.dataone.org/odo/ECSO_00001183
Target Variable,Chlorophyll-a concentration,Chlorophyll-a+concentration,6,http://purl.dataone.org/odo/ECSO_00000516 http://purl.dataone.org/odo/ECSO_00000563 http://purl.obolibrary.org/obo/CHEBI_28966 http://purl.dataone.org/odo/ECSO_00000562 http://purl.dataone.org/odo/ECSO_00001120 http://purl.obolibrary.org/obo/PATO_0000033
Target Variable,Summer Warmth Index (SWI),Summer+Warmth+Index+(SWI),0,"NA"
Target Variable,Snow Cover Duration,Snow+Cover+Duration,3,http://purl.obolibrary.org/obo/ENVO_01000406 http://purl.dataone.org/odo/ECSO_#http://purl.obolibrary.org/obo/ENVO_01000406 http://purl.dataone.org/odo/ECSO_00001183
Target Variable,Sea Surface Temperature,Sea+Surface+Temperature,6,http://purl.obolibrary.org/obo/ENVO_04000002 http://purl.dataone.org/odo/ECSO_00001523 http://purl.obolibrary.org/obo/ENVO_00000016 http://purl.dataone.org/odo/ECSO_00001526 http://purl.obolibrary.org/obo/UBERON_0002416 http://purl.obolibrary.org/obo/PATO_0000146
Target Variable,Near-surface air temperatures,Near-surface+air+temperatures,2,http://purl.obolibrary.org/obo/UBERON_0002416 http://purl.obolibrary.org/obo/ENVO_00002005
Target Variable,Geopotential height and Wind,Geopotential+height+and+Wind,4,http://purl.dataone.org/odo/ECSO_00001252 http://purl.dataone.org/odo/ECSO_00000511 http://purl.obolibrary.org/obo/ENVO_01000792 http://purl.obolibrary.org/obo/ENVO_01000793
Target Variable,Seasonal/annual anomaly patterns for air temperatures,Seasonal/annual+anomaly+patterns+for+air+temperatures,1,http://purl.obolibrary.org/obo/ENVO_00002005
Target Variable,Surface Melt,Surface+Melt,1,http://purl.obolibrary.org/obo/UBERON_0002416
Target Variable,Solid Ice discharge (derived from Ice Velocity),Solid+Ice+discharge+(derived+from+Ice+Velocity),8,http://purl.dataone.org/odo/ECSO_00000317 http://purl.obolibrary.org/obo/ENVO_01001125 http://purl.obolibrary.org/obo/ENVO_01001126 http://purl.obolibrary.org/obo/ENVO_01000277 http://purl.obolibrary.org/obo/ENVO_00000131 http://purl.obolibrary.org/obo/PATO_0002242 http://purl.obolibrary.org/obo/PATO_0000008 http://purl.dataone.org/odo/ECSO_00001543
Target Variable,Sea Ice concentrations,Sea+Ice+concentrations,6,http://purl.obolibrary.org/obo/ENVO_00002200 http://purl.obolibrary.org/obo/ENVO_00000016 http://purl.obolibrary.org/obo/ENVO_01001125 http://purl.obolibrary.org/obo/ENVO_01001126 http://purl.obolibrary.org/obo/ENVO_01000277 http://purl.obolibrary.org/obo/ENVO_00000131
Target Variable,Sea Ice Extent,Sea+Ice+Extent,7,http://purl.dataone.org/odo/ECSO_00002654 http://purl.obolibrary.org/obo/ENVO_00002200 http://purl.obolibrary.org/obo/ENVO_00000016 http://purl.obolibrary.org/obo/ENVO_01001125 http://purl.obolibrary.org/obo/ENVO_01001126 http://purl.obolibrary.org/obo/ENVO_01000277 http://purl.obolibrary.org/obo/ENVO_00000131
Target Variable,NSIDC Sea Ice Index,NSIDC+Sea+Ice+Index,6,http://purl.obolibrary.org/obo/ENVO_00002200 http://purl.obolibrary.org/obo/ENVO_00000016 http://purl.obolibrary.org/obo/ENVO_01001125 http://purl.obolibrary.org/obo/ENVO_01001126 http://purl.obolibrary.org/obo/ENVO_01000277 http://purl.obolibrary.org/obo/ENVO_00000131
Target Variable,Age of sea ice (NSIDC),Age+of+sea+ice+(NSIDC),7,http://purl.obolibrary.org/obo/PATO_0000011 http://purl.obolibrary.org/obo/ENVO_00002200 http://purl.obolibrary.org/obo/ENVO_00000016 http://purl.obolibrary.org/obo/ENVO_01001125 http://purl.obolibrary.org/obo/ENVO_01001126 http://purl.obolibrary.org/obo/ENVO_01000277 http://purl.obolibrary.org/obo/ENVO_00000131
Target Variable,Snow Depth,Snow+Depth,6,http://purl.dataone.org/odo/ECSO_00001205 http://purl.obolibrary.org/obo/ENVO_01000406 http://purl.dataone.org/odo/ECSO_#http://purl.obolibrary.org/obo/ENVO_01000406 http://purl.obolibrary.org/obo/PATO_0001595 http://purl.dataone.org/odo/ECSO_00001250 http://purl.dataone.org/odo/ECSO_00000515
Target Variable,Surface Mass Balance (Also reported as Equilibrium Line Altitude),Surface+Mass+Balance+(Also+reported+as+Equilibrium+Line+Altitude),7,http://purl.dataone.org/odo/ECSO_00002641 http://purl.obolibrary.org/obo/UBERON_0002416 http://purl.obolibrary.org/obo/PATO_0000125 http://purl.obolibrary.org/obo/PATO_0000125 http://ecoinformatics.org/oboe/oboe.1.2/oboe-characteristics.owl#Mass http://purl.obolibrary.org/obo/ENVO_01001347 http://purl.dataone.org/odo/ECSO_00001564
Target Variable,Total Mass Balance,Total+Mass+Balance,3,http://purl.obolibrary.org/obo/PATO_0000125 http://purl.obolibrary.org/obo/PATO_0000125 http://ecoinformatics.org/oboe/oboe.1.2/oboe-characteristics.owl#Mass
Target Variable,Ice Ablation,Ice+Ablation,4,http://purl.obolibrary.org/obo/ENVO_01001125 http://purl.obolibrary.org/obo/ENVO_01001126 http://purl.obolibrary.org/obo/ENVO_01000277 http://purl.obolibrary.org/obo/ENVO_00000131
Target Variable,Surface Albedo,Surface+Albedo,4,http://purl.obolibrary.org/obo/UBERON_0002416 http://purl.dataone.org/odo/ECSO_00000063 http://purl.dataone.org/odo/ECSO_00001694 http://purl.dataone.org/odo/ECSO_00000077
Target Variable,Marine terminating glacier front annual area change,Marine+terminating+glacier+front+annual+area+change,2,http://purl.obolibrary.org/obo/ENVO_00000133 http://purl.obolibrary.org/obo/PATO_0001323
